budget,genres,original_language,popularity,production_companies,production_countries,release_date,revenue,runtime,title,vote_average,vote_count,cast
237000000,"Action, Adventure, Fantasy, Science Fiction",en,150.437577,"Ingenious Film Partners, Twentieth Century Fox Film Corporation, Dune Entertainment, Lightstorm Entertainment","United States of America, United Kingdom",2009-12-10,2787965087,162.0,Avatar,7.2,11800,"Sam Worthington, Zoe Saldana, Sigourney Weaver, Stephen Lang, Michelle Rodriguez, Giovanni Ribisi, Joel David Moore, CCH Pounder, Wes Studi, Laz Alonso"
300000000,"Adventure, Fantasy, Action",en,139.082615,"Walt Disney Pictures, Jerry Bruckheimer Films, Second Mate Productions",United States of America,2007-05-19,961000000,169.0,Pirates of the Caribbean: At World's End,6.9,4500,"Johnny Depp, Orlando Bloom, Keira Knightley, Stellan Skarsggrd, Chow Yun-fat, Bill Nighy, Geoffrey Rush, Jack Davenport, Kevin McNally, Tom Hollander"
245000000,"Action, Adventure, Crime",en,107.376788,"Columbia Pictures, Danjaq, B24","United Kingdom, United States of America",2015-10-26,880674609,148.0,Spectre,6.3,4466,"Daniel Craig, Christoph Waltz, Ralph Fiennes, Monica Bellucci, Ben Whishaw, Naomie Harris, Dave Bautista, Andrew Scott, Rory Kinnear"
250000000,"Action, Crime, Drama, Thriller",en,112.31295,"Legendary Pictures, Warner Bros., DC Entertainment, Syncopy",United States of America,2012-07-16,1084939099,165.0,The Dark Knight Rises,7.6,9106,"Christian Bale, Michael Caine, Gary Oldman, Anne Hathaway, Tom Hardy, Marion Cotillard, Joseph Gordon-Levitt, Morgan Freeman, Cillian Murphy, Juno Temple"
260000000,"Action, Adventure, Science Fiction",en,43.926995,Walt Disney Pictures,United States of America,2012-03-07,284139100,132.0,John Carter,6.1,2124,"Taylor Kitsch, Lynn Collins, Samantha Morton, Willem Dafoe, Thomas Haden Church, Mark Strong, Dominic West, James Purefoy, Bryan Cranston"
258000000,"Fantasy, Action, Adventure",en,115.699814,"Columbia Pictures, Laura Ziskin Productions, Marvel Enterprises",United States of America,2007-05-01,890871626,139.0,Spider-Man 3,5.9,3576,"Tobey Maguire, Kirsten Dunst, James Franco, Thomas Haden Church, Topher Grace, Bryce Dallas Howard, Rosemary Harris, James Cromwell, J.K. Simmons, Theresa Russell"
260000000,"Animation, Family",en,48.681969,"Walt Disney Pictures, Walt Disney Animation Studios",United States of America,2010-11-24,591794936,100.0,Tangled,7.4,3330,"Zachary Levi, Mandy Moore, Donna Murphy, Ron Perlman, M.C. Gainey, Jeffrey Tambor, Brad Garrett, Paul F. Tompkins, Richard Kiel, Delaney Rose Stein"
280000000,"Action, Adventure, Science Fiction",en,134.279229,"Marvel Studios, Prime Focus, Revolution Sun Studios",United States of America,2015-04-22,1405403694,141.0,Avengers: Age of Ultron,7.3,6767,"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans, Scarlett Johansson, Jeremy Renner, James Spader, Samuel L. Jackson, Don Cheadle, Aaron Taylor-Johnson"
250000000,"Adventure, Fantasy, Family",en,98.885637,"Warner Bros., Heyday Films","United Kingdom, United States of America",2009-07-07,933959197,153.0,Harry Potter and the Half-Blood Prince,7.4,5293,"Daniel Radcliffe, Rupert Grint, Emma Watson, Tom Felton, Michael Gambon, Jim Broadbent, Helena Bonham Carter, Robbie Coltrane, Maggie Smith, Alan Rickman"
250000000,"Action, Adventure, Fantasy",en,155.790452,"DC Comics, Atlas Entertainment, Warner Bros., DC Entertainment, Cruel & Unusual Films, RatPac-Dune Entertainment",United States of America,2016-03-23,873260194,151.0,Batman v Superman: Dawn of Justice,5.7,7004,"Ben Affleck, Henry Cavill, Gal Gadot, Amy Adams, Jesse Eisenberg, Diane Lane, Jeremy Irons, Laurence Fishburne, Holly Hunter, Scoot McNairy"
270000000,"Adventure, Fantasy, Action, Science Fiction",en,57.925623,"DC Comics, Legendary Pictures, Warner Bros., Bad Hat Harry Productions",United States of America,2006-06-28,391081192,154.0,Superman Returns,5.4,1400,"Brandon Routh, Kevin Spacey, Kate Bosworth, James Marsden, Parker Posey, Frank Langella, Sam Huntington, Eva Marie Saint, Marlon Brando, Kal Penn"
200000000,"Adventure, Action, Thriller, Crime",en,107.928811,Eon Productions,"United Kingdom, United States of America",2008-10-30,586090727,106.0,Quantum of Solace,6.1,2965,"Daniel Craig, Olga Kurylenko, Mathieu Amalric, Judi Dench, Giancarlo Giannini, Gemma Arterton, Jeffrey Wright, David Harbour, Jesper Christensen, Anatole Taubman"
200000000,"Adventure, Fantasy, Action",en,145.847379,"Walt Disney Pictures, Jerry Bruckheimer Films, Second Mate Productions","Jamaica, United States of America, Bahamas, Dominica",2006-06-20,1065659812,151.0,Pirates of the Caribbean: Dead Man's Chest,7.0,5246,"Johnny Depp, Orlando Bloom, Keira Knightley, Stellan Skarsggrd, Bill Nighy, Jack Davenport, Kevin McNally, Jonathan Pryce, Lee Arenberg, Mackenzie Crook"
255000000,"Action, Adventure, Western",en,49.046956,"Walt Disney Pictures, Jerry Bruckheimer Films, Infinitum Nihil, Silver Bullet Productions (II), Blind Wink Productions, Classic Media",United States of America,2013-07-03,89289910,149.0,The Lone Ranger,5.9,2311,"Johnny Depp, Armie Hammer, William Fichtner, Helena Bonham Carter, James Badge Dale, Tom Wilkinson, Ruth Wilson, Barry Pepper, James Frain, Mason Cook"
225000000,"Action, Adventure, Fantasy, Science Fiction",en,99.398009,"Legendary Pictures, Warner Bros., DC Entertainment, Syncopy, Cruel and Unusual Films","United Kingdom, United States of America",2013-06-12,662845518,143.0,Man of Steel,6.5,6359,"Henry Cavill, Amy Adams, Michael Shannon, Kevin Costner, Diane Lane, Russell Crowe, Laurence Fishburne, Antje Traue, Christopher Meloni, Jadin Gould"
225000000,"Adventure, Family, Fantasy",en,53.978602,"Walt Disney, Walden Media, Stillking Films, Ozumi Films, Propeler, Silverbell Films, Revolution Sun Studios","Czech Republic, Poland, Slovenia, United States of America",2008-05-15,419651413,150.0,The Chronicles of Narnia: Prince Caspian,6.3,1630,"Ben Barnes, William Moseley, Anna Popplewell, Skandar Keynes, Georgie Henley, Sergio Castellitto, Alicia Borrachero, Peter Dinklage, Warwick Davis, Vincent Grass"
220000000,"Science Fiction, Action, Adventure",en,144.448633,"Paramount Pictures, Marvel Studios",United States of America,2012-04-25,1519557910,143.0,The Avengers,7.4,11776,"Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth, Scarlett Johansson, Jeremy Renner, Tom Hiddleston, Clark Gregg, Cobie Smulders, Stellan Skarsggrd"
