budget,genres,original_language,popularity,production_companies,production_countries,revenue,runtime,title,vote_average,vote_count,cast,release_year,release_month,release_day,Profit,roi
200000000,7,4,37.668301,1,141,310669540,140.0,Robin Hood,6.2,1398,1,2010,5,12,110669540,55.33477
180000000,3,4,42.990906,1,141,372234864,113.0,The Golden Compass,5.8,1303,1,2007,12,4,192234864,106.79714666666666
150000000,9,4,21.939663,1,2086,836297228,150.0,Transformers: Revenge of the Fallen,6.0,3138,1,2009,6,19,686297228,457.53148533333336
170000000,13,4,73.79505,1,2086,400062763,125.0,TRON: Legacy,6.3,2841,1,2010,12,10,230062763,135.3310370588235
200000000,2,4,49.98659,11,2086,559852396,106.0,Cars 2,5.8,2033,1,2011,6,11,359852396,179.926198
105000000,89,4,61.196071,1,8,351040419,143.0,The Great Gatsby,7.3,3769,1,2013,5,10,246040419,234.32420857142856
150000000,1,4,62.169881,2,2086,335154643,116.0,Prince of Persia: The Sands of Time,6.2,2317,1,2010,5,19,185154643,123.43642866666667
175000000,4,4,51.692953,11,2086,331926147,93.0,The Good Dinosaur,6.6,1736,1,2015,11,14,156926147,89.672084
185000000,18,4,65.352913,1,2086,343471816,122.0,Star Trek Beyond,6.6,2568,1,2016,7,7,158471816,85.66044108108109
140000000,4,4,22.57178,26,2086,258022233,91.0,Rush Hour 3,6.1,783,1,2007,8,8,118022233,84.30159499999999
200000000,1,4,39.744242,1,2086,325233863,96.0,A Christmas Carol,6.6,1095,1,2009,11,4,125233863,62.61693149999999
180000000,7,4,42.741719,1,6,356743061,109.0,The Legend of Tarzan,5.5,2430,1,2016,6,29,176743061,98.19058944444444
180000000,12,4,67.391328,1,141,748806957,143.0,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.7,2629,1,2005,12,7,568806957,316.003865
175000000,2,4,36.167578,12,2086,381509870,94.0,Monsters vs Aliens,6.0,1423,1,2009,3,19,206509870,118.00564
170000000,6,4,32.319043,1,1,185770160,126.0,Hugo,7.0,2141,1,2011,11,22,15770160,9.276564705882354
170000000,1,4,40.748915,1,2086,222104681,106.0,Wild Wild West,5.1,1020,1,1999,6,29,52104681,30.649812352941176
145000000,5,4,60.034162,1,93,401128639,112.0,The Mummy: Tomb of the Dragon Emperor,5.2,1387,1,2008,7,1,256128639,176.64044068965518
175000000,6,4,27.082182,1,2086,173000000,96.0,Evan Almighty,5.3,1151,1,2007,6,9,-2000000,-1.1428571428571428
175000000,6,4,44.640292,1,2086,264218220,135.0,Waterworld,5.9,992,1,1995,7,28,89218220,50.98184
175000000,10,4,32.852443,1,2,302469017,118.0,G.I. Joe: The Rise of Cobra,5.6,1962,1,2009,8,4,127469017,72.83943828571428
175000000,1,4,41.796339,1,2086,150962475,119.0,47 Ronin,5.9,1326,1,2013,12,6,-24037525,-13.73572857142857
165000000,1,4,44.041186,12,2086,752600867,93.0,Shrek Forever After,6.0,1959,1,2010,5,16,587600867,356.1217375757576
165000000,1,4,47.323228,1,2086,305875730,100.0,The Polar Express,6.4,1474,1,2004,11,10,140875730,85.37923030303031
15000000,1,13,9.476999,1,11,77000000,120.0,Shin Godzilla,6.5,143,1,2016,7,29,62000000,413.33333333333337
38000000,25,4,6.909942,1,93,207283925,106.0,The Fast and the Furious,6.6,3428,1,2001,6,22,169283925,445.48401315789476
150000000,1,4,35.580815,1,2086,215283742,109.0,The Sorcerer's Apprentice,5.8,1470,1,2010,7,13,65283742,43.52249466666667
160000000,1,4,21.133748,1,2086,181674817,99.0,Poseidon,5.5,583,1,2006,5,12,21674817,13.546760625000001
170000000,5,4,56.268916,1,141,299370084,113.0,Alice Through the Looking Glass,6.5,1725,1,2016,5,25,129370084,76.1000494117647
160000000,2,4,42.986467,4,2086,798958165,93.0,Shrek the Third,6.0,2278,1,2007,5,17,638958165,399.348853125
160000000,9,4,63.148529,1,1,433677183,123.0,Warcraft,6.3,2268,1,2016,5,25,273677183,171.048239375
155000000,12,4,49.661984,1,2086,415686217,113.0,The Chronicles of Narnia: The Voyage of the Dawn Treader,6.2,1514,1,2010,8,13,260686217,168.18465612903225
140000000,1,4,34.20669,4,2086,449220945,183.0,Pearl Harbor,6.6,1791,1,2001,5,21,309220945,220.8721035714286
150000000,2,4,25.468493,1,2086,709709780,144.0,Transformers,6.6,4040,1,2007,6,27,559709780,373.13985333333335
150000000,3,4,56.758411,1,2086,624029371,92.0,Hancock,6.2,2961,1,2008,7,1,474029371,316.0195806666667
150000000,4,4,53.905592,1,3,474968763,115.0,Charlie and the Chocolate Factory,6.7,3624,1,2005,7,13,324968763,216.64584200000002
150000000,4,4,65.677399,11,2086,623722818,111.0,Ratatouille,7.5,4369,1,2007,6,22,473722818,315.815212
150000000,5,4,44.141021,12,2086,603900354,89.0,Madagascar: Escape 2 Africa,6.2,1810,1,2008,10,30,453900354,302.600236
150000000,2,4,81.781591,1,13,413106170,105.0,Night at the Museum: Battle of the Smithsonian,5.9,1971,1,2009,5,20,263106170,175.40411333333333
150000000,10,4,5.954334,1,2086,373062864,107.0,X-Men Origins: Wolverine,6.2,4021,1,2009,4,28,223062864,148.708576
150000000,10,4,73.313918,1,8,424988211,129.0,The Matrix Revolutions,6.4,3096,1,2003,11,5,274988211,183.325474
150000000,10,4,70.78591,1,36,738599701,138.0,The Matrix Reloaded,6.7,3443,1,2003,5,15,588599701,392.3998006666667
150000000,2,4,41.845878,3,2086,309979994,98.0,Bolt,6.3,1750,1,2008,11,21,159979994,106.65332933333333
150000000,1,4,26.710398,1,2086,292817841,88.0,G-Force,5.1,510,1,2009,7,21,142817841,95.211894
150000000,9,4,44.927635,1,3,301000000,99.0,Wrath of the Titans,5.5,1431,1,2012,3,27,151000000,100.66666666666666
150000000,4,4,50.306728,1,36,245527149,113.0,Dark Shadows,5.7,2320,1,2012,5,8,95527149,63.684766
150000000,4,4,29.332905,1,2086,287594577,91.0,Bee Movie,5.7,1171,1,2007,10,28,137594577,91.729718
