budget,genres,original_language,popularity,production_companies,production_countries,revenue,runtime,title,vote_average,vote_count,cast,release_year,release_month,release_day
237000000,6,4,150.437577,1,12,2787965087,162.0,Avatar,7.2,11800,1,2009,12,10
300000000,13,4,139.082615,2,2086,961000000,169.0,Pirates of the Caribbean: At World's End,6.9,4500,1,2007,5,19
245000000,3,4,107.376788,1,141,880674609,148.0,Spectre,6.3,4466,1,2015,10,26
250000000,19,4,112.31295,1,2086,1084939099,165.0,The Dark Knight Rises,7.6,9106,1,2012,7,16
260000000,18,4,43.926995,17,2086,284139100,132.0,John Carter,6.1,2124,1,2012,3,7
258000000,3,4,115.699814,2,2086,890871626,139.0,Spider-Man 3,5.9,3576,1,2007,5,1
260000000,18,4,48.681969,5,2086,591794936,100.0,Tangled,7.4,3330,1,2010,11,24
280000000,18,4,134.279229,1,2086,1405403694,141.0,Avengers: Age of Ultron,7.3,6767,1,2015,4,22
250000000,5,4,98.885637,2,141,933959197,153.0,Harry Potter and the Half-Blood Prince,7.4,5293,1,2009,7,7
250000000,9,4,155.790452,1,2086,873260194,151.0,Batman v Superman: Dawn of Justice,5.7,7004,1,2016,3,23
270000000,1,4,57.925623,1,2086,391081192,154.0,Superman Returns,5.4,1400,1,2006,6,28
200000000,2,4,107.928811,7,141,586090727,106.0,Quantum of Solace,6.1,2965,1,2008,10,30
200000000,13,4,145.847379,2,1,1065659812,151.0,Pirates of the Caribbean: Dead Man's Chest,7.0,5246,1,2006,6,20
255000000,1,4,49.046956,1,2086,89289910,149.0,The Lone Ranger,5.9,2311,1,2013,7,3
225000000,6,4,99.398009,1,141,662845518,143.0,Man of Steel,6.5,6359,1,2013,6,12
225000000,12,4,53.978602,1,1,419651413,150.0,The Chronicles of Narnia: Prince Caspian,6.3,1630,1,2008,5,15
220000000,9,4,144.448633,1,2086,1519557910,143.0,The Avengers,7.4,11776,1,2012,4,25
380000000,5,4,135.413856,1,2086,1045713802,136.0,Pirates of the Caribbean: On Stranger Tides,6.4,4948,1,2011,5,14
225000000,7,4,52.035179,1,2086,624026776,106.0,Men in Black 3,6.2,4160,1,2012,5,23
250000000,9,4,120.965743,1,9,956019788,144.0,The Hobbit: The Battle of the Five Armies,7.1,4760,2,2014,12,10
215000000,9,4,89.866276,1,2086,752215857,136.0,The Amazing Spider-Man,6.5,6586,1,2012,6,27
200000000,7,4,37.668301,1,141,310669540,140.0,Robin Hood,6.2,1398,1,2010,5,12
250000000,3,4,94.370564,2,9,958400000,161.0,The Hobbit: The Desolation of Smaug,7.6,4524,2,2013,12,11
180000000,3,4,42.990906,1,141,372234864,113.0,The Golden Compass,5.8,1303,1,2007,12,4
207000000,4,4,61.22601,1,1,550000000,187.0,King Kong,6.6,2337,1,2005,12,14
200000000,5,4,100.025899,1,2086,1845034188,194.0,Titanic,7.5,7562,1,1997,11,18
250000000,13,4,198.372395,1,2086,1153304495,147.0,Captain America: Civil War,7.1,7241,1,2016,4,27
209000000,1,4,64.928382,1,2086,303025485,131.0,Battleship,5.5,2114,1,2012,4,11
150000000,7,4,418.708552,1,2086,1513528810,124.0,Jurassic World,6.5,8662,1,2015,6,9
200000000,19,4,93.004993,28,141,1108561013,143.0,Skyfall,6.9,7604,1,2012,10,25
200000000,9,4,35.149586,2,2086,783766341,127.0,Spider-Man 2,6.7,4321,1,2004,6,25
200000000,18,4,77.68208,8,7,1215439994,130.0,Iron Man 3,6.8,8806,1,2013,4,18
200000000,1,4,78.530105,1,2086,1025491110,108.0,Alice in Wonderland,6.4,4645,1,2010,3,3
